N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000002738	C0037018	M0019807	D012790	Shwartzman Phenomenon
N0000003622	C0206151	M0026753	D017688	Cholera Morbus
N0000002764	C0037278	M0019935	D012874	Skin Diseases, Infectious
N0000181303	C2718017	M0534988	D057177	TDP-43 Proteinopathies
N0000002478	C0032962	M0017474	D011248	Pregnancy Complications
N0000183401	C0273486	M0556749	D061223	Vagus Nerve Injuries
N0000003787	C0206769	M0027561	D018326	Nevi and Melanomas
N0000002389	C0031485	M0016567	D010661	Phenylketonurias
N0000002892	C0039236	M0021001	D013614	Tachycardia, Paroxysmal
N0000004186	C0752160	M0328326	D020786	Hemangioma, Cavernous, Central Nervous System
N0000003062	C0041582	M0022226	D014456	Ulcer
N0000185630	C3494419	M0571588	D063169	Dentofacial Deformities
N0000181291	C2717865	M0528192	D056648	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
N0000003069	C0041955	M0022326	D014516	Ureteral Neoplasms
N0000002082	C0027022	M0014332	D009196	Myeloproliferative Disorders
N0000002876	C0039093	M0020959	D013580	Synostosis
N0000004148	C0271355	M0328086	D020434	Abducens Nerve Diseases
N0000003354	C0079027	M0024551	D016063	Blood Loss, Surgical
N0000001483	C0029163	M0010155	D006472	Oral Hemorrhage
N0000003816	C0242647	M0027665	D018442	Lymphoma, B-Cell, Marginal Zone
N0000003507	C0085426	M0025728	D016908	Gram-Positive Bacterial Infections
N0000003556	C0040522	M0026140	D017227	Toxascariasis
N0000001465	C0018979	M0010070	D006423	Hemianopsia
N0000000708	C0007659	M0003796	D002485	Cementoma
N0000003371	C0078917	M0024622	D016117	Albinism, Ocular
N0000183408	C0343939	M0554489	D060586	Trichosporonosis
N0000001103	C0014179	M0007414	D004716	Endometritis
N0000002841	C0038463	M0020615	D013322	Strongyloidiasis
N0000003866	C0282492	M0028214	D018860	Sneddon Syndrome
N0000002393	C0031542	M0016608	D010689	Phlebitis
N0000002977	C0040443	M0021683	D014084	Tooth Avulsion
N0000003667	C0206764	M0027422	D018193	Neoplasms, Complex and Mixed
N0000182220	C1696708	M0541544	D058246	Prehypertension
N0000002139	C0027665	M0014605	D009380	Neoplasms, Nerve Tissue
N0000001928	C0024591	M0012932	D008305	Malignant Hyperthermia
N0000003850	C0025267	M0028096	D018761	Multiple Endocrine Neoplasia Type 1
N0000001193	C0015461	M0008120	D005153	Facial Neoplasms
N0000011008	C1258225	M0449414	D045828	Moraxellaceae Infections
N0000010937	C1258215	M0449404	D045823	Ileus
N0000189385	C3658261	M0579828	D064146	Chemotherapy-Induced Febrile Neutropenia
N0000171632	C0338480	M0328367	D020326	Migraine without Aura
N0000003237	C0017665	M0023781	D015433	Glomerulonephritis, Membranous
N0000002427	C0032249	M0017051	D011004	Plummer-Vinson Syndrome
N0000003052	C0041331	M0022134	D014400	Tuberculosis, Splenic
N0000002142	C0027668	M0014610	D009383	Neoplasms, Vascular Tissue
N0000004120	C0151620	M0328335	D020343	Hypertensive Encephalopathy
N0000010195	C0032961			Pregnancy
N0000171669	C0025048	M0013186	D008471	Meconium Aspiration Syndrome
N0000000922	C0011360	M0005881	D003750	Dental Fissures
N0000000318	C0001529	M0000426	D000274	Adiposis Dolorosa
N0000002237	C0029294	M0015438	D009958	Orofaciodigital Syndromes
N0000001628	C0020580	M0010878	D006987	Hypesthesia
N0000004248	C0012628	M0001558	D021922	Discrete Subaortic Stenosis
N0000002903	C0039446	M0021124	D013684	Telangiectasis
N0000001556	C0020091	M0010635	D006800	Deltaretrovirus Infections
N0000000489	C0003952	M0001788	D001198	Ascaridiasis
N0000003175	C0043324	M0023048	D014972	Xanthogranuloma, Juvenile
N0000002466	C0032780	M0017362	D011180	Postmortem Changes
N0000011143	C0431943	M0414112	D038061	Lower Extremity Deformities, Congenital
N0000003710	C0206659	M0027465	D018236	Carcinoma, Embryonal
N0000000809	C0009353	M0004797	D003100	Colles' Fracture
N0000002250	C0029434	M0015534	D010013	Osteogenesis Imperfecta
N0000001172	C0015269	M0008015	D005084	Exhibitionism
N0000171705	C0399496	M0479965	D051261	Granulomatosis, Orofacial
N0000000407	C0002963	M0001181	D000788	Angina Pectoris, Variant
N0000002169	C0027822	M0014703	D009450	Neurodermatitis
N0000000855	C0010051	M0005187	D003323	Coronary Aneurysm
N0000182191	C0339510	M0539284	D057826	Vitelliform Macular Dystrophy
N0000181053	C0152173	M0502014	D054141	Ventricular Flutter
N0000183396	C0264423	M0549616	D059366	Asthma, Occupational
N0000001478	C0019069	M0010149	D006467	Hemophilia A
N0000001917	C0024433	M0012872	D008265	Macrostomia
N0000002801	C0037944	M0020331	D013130	Spinal Stenosis
N0000171627	C0333355	M0482523	D052016	Mucositis
N0000010242	C0022104	M0004816	D043183	Irritable Bowel Syndrome
N0000001378	C0018055	M0009538	D006060	Gonadal Dysgenesis, Mixed
N0000181046	C0149507	M0505793	D054517	Orbital Cellulitis
N0000002836	C0038379	M0020559	D013285	Strabismus
N0000001779	C0023015	M0012206	D007806	Language Disorders
N0000003599	C0162870	M0026606	D017543	Iliac Aneurysm
N0000000680	C0007137	M0003444	D002294	Carcinoma, Squamous Cell
N0000001520	C3489393	M0010264	D006551	Hernia, Hiatal
N0000000586	C0005942	M0002778	D001849	Bone Diseases, Endocrine
N0000181196	C1260325	M0507367	D054740	Dendritic Cell Sarcoma, Follicular
N0000002741	C0037033	M0019818	D012797	Sialometaplasia, Necrotizing
N0000183428	C2077203	M0556754	D061226	Recurrent Laryngeal Nerve Injuries
N0000002828	C0038356	M0020544	D013274	Stomach Neoplasms
N0000003856	C0243001	M0028122	D018784	Abdominal Abscess
N0000001418	C0018681	M0009824	D006261	Headache
N0000002165	C0027813	M0014693	D009443	Neuritis
N0000001994	C0025345	M0013402	D008599	Menstruation Disturbances
N0000003875	C0282513	M0028247	D018888	Aphasia, Primary Progressive
N0000001802	C0023267	M0012316	D007889	Leiomyoma
N0000181137	C0392525	M0476604	D053040	Nephrolithiasis
N0000001640	C0020625	M0010911	D007010	Hyponatremia
N0000000731	C0007856	M0003930	D002573	Cervical Rib Syndrome
N0000002392	C0031538	M0016606	D010688	Phimosis
N0000001454	C0018923	M0010036	D006394	Hemangiosarcoma
N0000183426	C1997249	M0554359	D060545	Pudendal Neuralgia
N0000001772	C0022890	M0012125	D007759	Labyrinth Diseases
N0000002961	C0040264	M0021571	D014012	Tinnitus
N0000001151	C0023440	M0007713	D004915	Leukemia, Erythroblastic, Acute
N0000003834	C0242788	M0027832	D018567	Breast Neoplasms, Male
N0000171618	C1564568	M0477446	D050738	Mesomycetozoea Infections
N0000001630	C0020595	M0010887	D006994	Hypoaldosteronism
N0000002953	C0040198	M0021523	D013986	Tick Toxicoses
N0000003024	C0041207	M0022052	D014339	Truncus Arteriosus, Persistent
N0000003883	C0238190	M0028350	D018979	Myositis, Inclusion Body
N0000183376	C0161405	M0556808	D061247	Trochlear Nerve Injuries
N0000001419	C0260662	M0009926	D006311	Hearing Disorders
N0000000930	C0011407	M0005933	D003790	Dental Pulp Necrosis
N0000003643	C0024408	M0026933	D017827	Machado-Joseph Disease
N0000003644	C0206762	M0027012	D017880	Limb Deformities, Congenital
N0000002073	C0026936	M0014307	D009175	Mycoplasma Infections
N0000011042	C0206042	M0025976	D034062	Insomnia, Fatal Familial
N0000002457	C0032580	M0017238	D011125	Adenomatous Polyposis Coli
N0000183444	C3178956	M0553987	D060437	Artificial Lens Implant Migration
N0000004132	C0410189	M0328183	D020389	Muscular Dystrophy, Emery-Dreifuss
N0000001657	C0020701	M0010957	D007046	Hysteria
N0000003638	C0206247	M0026863	D017772	Amyloid Neuropathies
N0000004099	C0751882	M0328231	D020294	Myasthenic Syndromes, Congenital
N0000001524	C0019326	M0010271	D006555	Hernia, Ventral
N0000001267	C0016412	M0008663	D005494	Folic Acid Deficiency
N0000001123	C0014527	M0007557	D004820	Epidermolysis Bullosa
N0000183440	C3178817	M0550515	D059545	Paraneoplastic Syndromes, Ocular
N0000000391	C0002884	M0001131	D000747	Anemia, Hypochromic
N0000182185	C0278601	M0545383	D058922	Inflammatory Breast Neoplasms
N0000003674	C0206627	M0027429	D018200	Mixed Tumor, Mullerian
N0000000695	C0007361	M0003611	D002372	Cat-Scratch Disease
N0000001422	C0018777	M0009929	D006314	Hearing Loss, Conductive
N0000001117	C0014474	M0007536	D004806	Ependymoma
N0000003010	C0040923	M0021930	D014247	Trichomonas Vaginitis
N0000181063	C0220756	M0335789	D052556	Niemann-Pick Disease, Type C
N0000003567	C0162700	M0026236	D017282	Tick-Borne Diseases
N0000003217	C0012624	M0023556	D015299	Discitis
N0000000262	C0000735	M0000008	D000008	Abdominal Neoplasms
N0000004166	C0752087	M0328219	D020720	Myasthenia Gravis, Autoimmune, Experimental
N0000003977	C0236969	M0029657	D019966	Substance-Related Disorders
N0000004018	C0751757	M0328334	D020177	Hypersomnolence, Idiopathic
N0000000345	C0001860	M0000591	D000387	Ainhum
N0000001899	C0024232	M0012795	D008207	Lymphatic Metastasis
N0000171697	C0521169	M0478034	D050815	Fractures, Compression
N0000181119	C0282527	M0028263	D052919	Refsum Disease, Infantile
N0000001361	C0017919	M0009469	D006008	Glycogen Storage Disease
N0000171631	C0154723	M0328363	D020325	Migraine with Aura
N0000004226	C0270851	M0328386	D020936	Epilepsy, Benign Neonatal
N0000004214	C0752262	M0328308	D020886	Somatosensory Disorders
N0000003726	C0206675	M0027483	D018254	Adenomatoid Tumor
N0000003171	C0043253	M0023023	D014949	Wounds, Nonpenetrating
N0000003706	C0206655	M0027461	D018232	Rhabdomyosarcoma, Alveolar
N0000001575	C0020433	M0010811	D006932	Hyperbilirubinemia
N0000002501	C0033581	M0017835	D011472	Prostatitis
N0000189371	C0281658	M0579495	D064090	Intraocular Lymphoma
N0000000380	C0002793	M0001077	D000708	Anaplasia
N0000183417	C0340288	M0552684	D060050	Angina, Stable
N0000003218	C0016752	M0023586	D015318	Fructose Metabolism, Inborn Errors
N0000003473	C0085307	M0025559	D016769	Embolism and Thrombosis
N0000001053	C0013589	M0007040	D004480	Ectromelia
N0000001912	C0024307	M0012824	D008230	Lymphomatoid Granulomatosis
N0000003087	C0042076	M0022401	D014571	Urologic Neoplasms
N0000182174	C0238402	M0530711	D058631	Pycnodysostosis
N0000000377	C0002757	M0001061	D000694	Anal Gland Neoplasms
N0000003952	C0241910	M0029243	D019693	Hepatitis, Autoimmune
N0000001330	C0017531	M0009222	D005871	Giant Lymph Node Hyperplasia
N0000002697	C0036400	M0019527	D012587	Scimitar Syndrome
N0000002858	C0038814	M0020814	D013471	Sunburn
N0000000514	C0004364	M0001989	D001327	Autoimmune Diseases
N0000003165	C0043195	M0022986	D014924	Wissler's Syndrome
N0000003101	C0042170	M0022447	D014607	Uveomeningoencephalitic Syndrome
N0000181227	C1562908	M0524816	D056005	Leprosy, Paucibacillary
N0000004197	C0752181	M0328052	D020807	Central Nervous System Parasitic Infections
N0000002998	C0040588	M0021749	D014138	Tracheoesophageal Fistula
N0000000727	C0007798	M0003902	D002551	Cerebral Ventricle Neoplasms
N0000002895	C0039240	M0021006	D013617	Tachycardia, Supraventricular
N0000000944	C0011616	M0006052	D003877	Dermatitis, Contact
N0000003420	C0085090	M0025167	D016483	Lymphoma, AIDS-Related
N0000002104	C0027341	M0014428	D009261	Nail-Patella Syndrome
N0000004172	C0087012	M0020337	D020754	Spinocerebellar Ataxias
N0000181210	C1300127	M0511442	D054973	Perivascular Epithelioid Cell Neoplasms
N0000003831	C0162283	M0027741	D018500	Diabetes Insipidus, Nephrogenic
N0000001337	C0017566	M0009238	D005885	Gingival Hyperplasia
N0000000755	C0008153	M0004111	D002694	Chlamydiaceae Infections
N0000181095	C0268225	M0508590	D054880	Aspartylglucosaminuria
N0000011092	C0238442	M0454700	D046548	Pubic Symphysis Diastasis
N0000002561	C0034194	M0018199	D011707	Pyloric Stenosis
N0000000389	C0002881	M0001129	D000745	Anemia, Hemolytic, Congenital
N0000003805	C0242596	M0027593	D018365	Neoplasm, Residual
N0000003821	C0023652	M0027695	D018459	Lichen Sclerosus et Atrophicus
N0000000546	C0005398	M0002480	D001651	Cholestasis, Extrahepatic
N0000003819	C0242669	M0027693	D018457	Placenta, Retained
N0000002671	C1261473	M0019428	D012509	Sarcoma
N0000002890	C0039234	M0020999	D013612	Tachycardia, Ectopic Atrial
N0000000740	C0007939	M0003984	D002601	Chancre
N0000181156	C0520720	M0336764	D052958	Tarlov Cysts
N0000011043	C0268237	M0335492	D030401	Cytochrome-c Oxidase Deficiency
N0000181264	C1959632	M0502872	D054219	Neoplasms, Plasma Cell
N0000002353	C0030925	M0016213	D010439	Peptic Ulcer Perforation
N0000002052	C0026769	M0014197	D009103	Multiple Sclerosis
N0000002992	C0040561	M0021735	D014126	Toxoplasmosis, Ocular
N0000000857	C0010068	M0005191	D003327	Coronary Disease
N0000004154	C0751951	M0328271	D020512	Myopathy, Central Core
N0000004032	C0751785	M0328656	D020194	Unverricht-Lundborg Syndrome
N0000189381	C3541994	M0578081	D063926	Drug Hypersensitivity Syndrome
N0000181015	C0004509	M0015282	D053713	Azoospermia
N0000003913	C0376532	M0028742	D019305	Epilepsy, Rolandic
N0000003606	C0206064	M0026629	D017566	Microvascular Angina
N0000171675	C1563696	M0470997	D049914	DNA Repair-Deficiency Disorders
N0000003944	C0524812	M0029083	D019585	Intracranial Hypotension
N0000002172	C0027849	M0014713	D009459	Neuroleptic Malignant Syndrome
N0000001642	C0020627	M0010913	D007012	Hypopharyngeal Neoplasms
N0000002862	C3203360	M0020847	D013492	Suppuration
N0000000337	C0001768	M0000551	D000361	Agammaglobulinemia
N0000001114	C0014394	M0007497	D004775	Enuresis
N0000000588	C0005944	M0002780	D001851	Bone Diseases, Metabolic
N0000002532	C0033975	M0018060	D011618	Psychotic Disorders
N0000003589	C0162836	M0026548	D017497	Hidradenitis Suppurativa
N0000000501	C0004114	M0001891	D001254	Astrocytoma
N0000171682	C0342185	M0471943	D050010	Hyperthyroxinemia, Familial Dysalbuminemic
N0000001299	C0016873	M0008909	D005671	Fused Teeth
N0000002963	C0040361	M0021618	D014036	Togaviridae Infections
N0000171658	C0007868	M0003937	D002578	Uterine Cervical Dysplasia
N0000011073	C0949690	M0374010	D025241	Spondylarthritis
N0000002440	C0032308	M0017076	D011023	Pneumonia, Staphylococcal
N0000002012	C0026010	M0013805	D008850	Microphthalmos
N0000000649	C0006818	M0003245	D002169	Campylobacter Infections
N0000004118	C0751908	M0328661	D020338	Vestibular Neuronitis
N0000181230	C1619738	M0500063	D054019	Immune Reconstitution Inflammatory Syndrome
N0000001765	C0022802	M0012084	D007729	Kuru
N0000002126	C0027644	M0014580	D009365	Neoplasm Regression, Spontaneous
N0000001607	C0020506	M0010848	D006964	Hyperpituitarism
N0000001047	C0013537	M0006985	D004461	Eclampsia
N0000010961	C0266061	M0012943	D024343	Open Bite
N0000003515	C0085417	M0025874	D017029	Epilepsy, Complex Partial
N0000002603	C0035243	M0018919	D012141	Respiratory Tract Infections
N0000000567	C0005700	M0002639	D001753	Blast Injuries
N0000004173	C0149793	M0328094	D020757	Amaurosis Fugax
N0000000464	C0003756	M0001676	D001117	Arenaviridae Infections
N0000171703	C0857007	M0480985	D051556	Hyperbilirubinemia, Neonatal
N0000000675	C0007130	M0003439	D002288	Adenocarcinoma, Mucinous
N0000002967	C0040414	M0021661	D014064	Tongue, Hairy
N0000001456	C0018926	M0010038	D006396	Hematemesis
N0000000728	C0007814	M0003910	D002558	Cerebrospinal Fluid Otorrhea
N0000002653	C0035854	M0019267	D012393	Rosacea
N0000001967	C0025183	M0013299	D008538	Meige Syndrome
N0000004224	C0752303	M0328644	D020924	Urological Manifestations
N0000003931	C0007859	M0029032	D019547	Neck Pain
N0000000560	C0005686	M0002630	D001745	Urinary Bladder Diseases
N0000001572	C0020413	M0010803	D006925	Hymenolepiasis
N0000003418	C0085084	M0025158	D016472	Motor Neuron Disease
N0000001367	C0017926	M0009475	D006014	Glycogen Storage Disease Type VII
N0000003767	C0206716	M0027537	D018303	Ganglioglioma
N0000002730	C0036982	M0019784	D012771	Shock, Hemorrhagic
N0000002522	C0033835	M0017963	D011556	Pseudopseudohypoparathyroidism
N0000003429	C0026705	M0025232	D016532	Mucopolysaccharidosis II
N0000004030	C0751778	M0328687	D020191	Myoclonic Epilepsies, Progressive
N0000181174	C0751422	M0528303	D056660	Hereditary Autoinflammatory Diseases
N0000001672	C0242350	M0011178	D007172	Erectile Dysfunction
N0000011118	C0577620	M0351847	D021184	Nut Hypersensitivity
N0000001386	C0018190	M0009606	D006100	Granuloma Inguinale
N0000001531	C0019360	M0010280	D006562	Herpes Zoster
N0000000379	C0002792	M0001076	D000707	Anaphylaxis
N0000181070	C0232347	M0503969	D054318	No-Reflow Phenomenon
N0000003242	C0023348	M0023793	D015440	Leprosy, Lepromatous
N0000181271	C2316212	M0527944	D056587	Cryopyrin-Associated Periodic Syndromes
N0000004082	C0311375	M0328100	D020261	Arsenic Poisoning
N0000002373	C0031106	M0016343	D010520	Aggressive Periodontitis
N0000003281	C0015029	M0023881	D015521	Ethmoid Sinusitis
N0000171647	C0085988	M0012107	D052178	Cephalopelvic Disproportion
N0000181281	C2609162	M0534188	D057068	Periprosthetic Fractures
N0000002703	C0036439	M0019552	D012600	Scoliosis
N0000000316	C0001511	M0000418	D000267	Tissue Adhesions
N0000002459	C0032586	M0333810	D011128	Polyradiculopathy
N0000002774	C0851578	M0019966	D012893	Sleep Disorders
N0000001182	C0015401	M0008089	D005129	Eye Foreign Bodies
N0000002562	C0034212	M0018214	D011711	Pyoderma
N0000002252	C0029436	M0015537	D010015	Osteolysis, Essential
N0000002315	C0030483	M0015902	D010263	Paraphimosis
N0000000610	C0006131	M0002890	D001935	Branchioma
N0000001050	C0013575	M0007032	D004476	Ectodermal Dysplasia
N0000003724	C0206673	M0027481	D018252	Syringoma
N0000002368	C0031085	M0016326	D010508	Periodontal Abscess
N0000003654	C0206604	M0027401	D018174	Arterivirus Infections
N0000000458	C0003635	M0001625	D001072	Apraxias
N0000002099	C0027145	M0014379	D009230	Myxedema
N0000000866	C0010266	M0005279	D003389	Cranial Nerve Diseases
N0000000724	C0007787	M0003887	D002546	Ischemic Attack, Transient
N0000001702	C0021843	M0011575	D007415	Intestinal Obstruction
N0000001851	C0023788	M0012563	D008061	Whipple Disease
N0000000437	C0003486	M0001545	D001014	Aortic Aneurysm
N0000181143	C0405124	M0494858	D053589	Nuchal Cord
N0000001596	C0020480	M0010835	D006953	Hyperlipoproteinemia Type IV
N0000001392	C0018206	M0009616	D006106	Granulosa Cell Tumor
N0000004216	C0752282	M0328270	D020914	Myopathies, Structural, Congenital
N0000001179	C0015393	M0008084	D005124	Eye Abnormalities
N0000001739	C0022576	M0011967	D007639	Keratoconjunctivitis, Infectious
N0000004062	C0270707	M0328615	D020232	Kluver-Bucy Syndrome
N0000002216	C0028961	M0015284	D009846	Oliguria
N0000183450	C3179093	M0556752	D061224	Laryngeal Nerve Injuries
N0000001845	C0023743	M0012529	D008039	Linitis Plastica
N0000182205	C0854723	M0542893	D058499	Retinal Dystrophies
N0000000348	C0001916	M0000628	D000417	Albinism
N0000011075	C0238154	M0010049	D006407	Hematoma, Epidural, Cranial
N0000001353	C0017668	M0009302	D005923	Glomerulosclerosis, Focal Segmental
N0000000485	C0003907	M0001761	D001183	Arthus Reaction
N0000003708	C0206657	M0027463	D018234	Sarcoma, Alveolar Soft Part
N0000182241	C2936346	M0537456	D058165	22q11 Deletion Syndrome
N0000002886	C0039144	M0020980	D013595	Syringomyelia
N0000003431	C0085129	M0025237	D016535	Bronchial Hyperreactivity
N0000183384	C0221025	M0551903	D059885	Kasabach-Merritt Syndrome
N0000003982	C0236664	M0029672	D019973	Alcohol-Related Disorders
N0000001753	C0022672	M0012024	D007683	Kidney Tubular Necrosis, Acute
N0000002259	C0029455	M0015550	D010023	Osteopoikilosis
N0000003927	C0376634	M0028956	D019465	Craniofacial Abnormalities
N0000002209	C0028879	M0015221	D009807	Odontogenic Cysts
N0000001930	C0024636	M0012940	D008310	Malocclusion
N0000002110	C0027430	M0014487	D009298	Nasal Polyps
N0000003285	C0001849	M0023886	D015526	AIDS Dementia Complex
N0000001536	C0019537	M0010353	D006610	High Pressure Neurological Syndrome
N0000000980	C0012602	M0006554	D004184	Dirofilariasis
N0000000454	C0003578	M0001589	D001049	Apnea
N0000003043	C0041321	M0022123	D014391	Tuberculosis, Miliary
